Type,name,Kcal
Lunch,gobi manchurian,542
Lunch,tasty flatbread,150
Lunch,sarson da saag,430
Lunch,paneer vindaloo,770
Lunch,garlic naan,190
Lunch,naan,317
Lunch,masala chicken wings,328
Lunch,cocktail chicken samosas,199
Lunch,chicken korma,346
Lunch,chicken biryani,728
Lunch,onion kulcha,300
Lunch,chicken tikka masala,1067
Lunch,gulabjamun,317
Lunch,malpura,500
Lunch,chaat papri,270
Lunch,baingan bartha,200
Lunch,malai kofta,413
Lunch,chicken saag,330
Lunch,rice,240
Lunch,tandoori roti,155
Lunch,carrot halwa,200
Lunch,kadahi paneer,371
Lunch,kadahi lamb,123
Lunch,aloo paratha,265
Lunch,rasmalai,180
Lunch,vegetable pakora,266
Lunch,hara bhara kabob,221
Lunch,shahi paneer,370
Lunch,yellow dal fry,490
Lunch,bhindi do piazza,150
Lunch,coconut chicken curry,346
Lunch,butter chicken,497
Lunch,lacha paratha,270
Lunch,veg biryani,663
Lunch,tomato rice,378
Lunch,ghee rice,898
Lunch,pudina rice,390
Lunch,curd rice,300
Lunch,veg fried rice,540
Lunch,chana pulao,590
Lunch,schezwan fried rice,542
Lunch,sambar rice,389
Lunch,egg biryani,408
Lunch,paneer biryani,900
Lunch,amla rice,364
Lunch,mushroom biryani,640
Lunch,paneer fried rice,488
Lunch,egg and dal curry,300
Lunch,rockfish fry,500
